condition,condition_role,distance_cm,power_dbm,jammer_mode,variant_run,method_a,method_b,metric,n_pairs,mean_a,sd_a,mean_b,sd_b,mean_difference,ci95_low,ci95_high,effect_dz,p_exact,p_holm,holm_family
within_condition_pilot,transparent_pilot,20,10,sweeping,gamma0,hnp,hnp_gamma0,return,10,96.69000000000003,0.8263910830969917,97.09400000000004,0.6747048737534544,-0.404000000000002,-1.0564488121722535,0.24844881217224957,-0.44295304800553675,0.208984375,1.0,exploratory_ablation_return_all_conditions_jammers
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,hnp,no_polynomial,return,10,96.69000000000003,0.8263910830969917,96.29650000000005,1.3556549257748964,0.39349999999999596,-0.8663329560931834,1.6533329560931753,0.22343671924517367,0.59375,1.0,exploratory_ablation_return_all_conditions_jammers
within_condition_pilot,transparent_pilot,20,10,sweeping,no_layernorm,hnp,no_layernorm,return,10,96.69000000000003,0.8263910830969917,96.98650000000004,0.5856148241141245,-0.2965000000000003,-0.843190711205933,0.2501907112059324,-0.38797681811287615,0.255859375,1.0,exploratory_ablation_return_all_conditions_jammers
within_condition_pilot,transparent_pilot,20,10,sweeping,no_dueling,hnp,no_dueling,return,10,96.69000000000003,0.8263910830969917,95.57700000000006,2.2109201201711732,1.112999999999984,-0.6565781339820309,2.882578133981999,0.44993336042945425,0.189453125,1.0,exploratory_ablation_return_all_conditions_jammers
within_condition_pilot,transparent_pilot,20,10,random,gamma0,hnp,hnp_gamma0,return,10,97.40200000000003,0.7558593343561529,98.72950000000002,0.184849037505374,-1.3274999999999877,-1.90243527715836,-0.7525647228416156,-1.6517272994503083,0.001953125,0.046875,exploratory_ablation_return_all_conditions_jammers
within_condition_pilot,transparent_pilot,20,10,random,no_polynomial,hnp,no_polynomial,return,10,97.40200000000003,0.7558593343561529,96.80700000000004,0.8129616637127859,0.5949999999999946,-0.23071318774983862,1.4207131877498278,0.5154784559308917,0.134765625,1.0,exploratory_ablation_return_all_conditions_jammers
within_condition_pilot,transparent_pilot,20,10,random,no_layernorm,hnp,no_layernorm,return,10,97.40200000000003,0.7558593343561529,97.09450000000005,0.5466079744915702,0.3075000000000017,-0.32532529777069535,0.9403252977706988,0.34760343710393554,0.32421875,1.0,exploratory_ablation_return_all_conditions_jammers
within_condition_pilot,transparent_pilot,20,10,random,no_dueling,hnp,no_dueling,return,10,97.40200000000003,0.7558593343561529,96.31100000000004,1.6750684894786898,1.0909999999999926,-0.1541090119453341,2.3361090119453194,0.6268161076225057,0.064453125,1.0,exploratory_ablation_return_all_conditions_jammers
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,gamma0,hnp,hnp_gamma0,return,10,95.08750000000005,1.439709172020509,89.506,6.723241116538307,5.581500000000029,0.12014861599400195,11.042851384006056,0.7310946119429429,0.046875,0.890625,exploratory_ablation_return_all_conditions_jammers
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,no_polynomial,hnp,no_polynomial,return,10,95.08750000000005,1.439709172020509,95.97550000000004,1.8381458804397905,-0.8879999999999925,-2.801161977829,1.0251619778290153,-0.3320351020348451,0.30859375,1.0,exploratory_ablation_return_all_conditions_jammers
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,no_layernorm,hnp,no_layernorm,return,10,95.08750000000005,1.439709172020509,96.33400000000003,0.6461673329890888,-1.246499999999979,-2.3557044622857797,-0.13729553771417824,-0.8039026289859036,0.037109375,0.7421875,exploratory_ablation_return_all_conditions_jammers
distance_shift_40cm_10dBm,cross_configuration,40,10,sweeping,no_dueling,hnp,no_dueling,return,10,95.08750000000005,1.439709172020509,94.82700000000006,1.5649728432148395,0.26049999999999185,-1.3621994076517745,1.8831994076517584,0.11483979912190108,0.716796875,1.0,exploratory_ablation_return_all_conditions_jammers
distance_shift_40cm_10dBm,cross_configuration,40,10,random,gamma0,hnp,hnp_gamma0,return,10,95.91050000000004,1.305121216166849,89.3215,7.341827675116814,6.589000000000039,1.0286740382897799,12.149325961710296,0.8476997007037721,0.029296875,0.64453125,exploratory_ablation_return_all_conditions_jammers
distance_shift_40cm_10dBm,cross_configuration,40,10,random,no_polynomial,hnp,no_polynomial,return,10,95.91050000000004,1.305121216166849,95.52150000000003,5.55687264665218,0.38900000000001284,-4.011308808111525,4.78930880811155,0.06323961534620091,0.9921875,1.0,exploratory_ablation_return_all_conditions_jammers
distance_shift_40cm_10dBm,cross_configuration,40,10,random,no_layernorm,hnp,no_layernorm,return,10,95.91050000000004,1.305121216166849,97.36650000000004,0.6658997672322684,-1.4559999999999846,-2.4205517935987024,-0.49144820640126696,-1.0798379745197302,0.009765625,0.224609375,exploratory_ablation_return_all_conditions_jammers
distance_shift_40cm_10dBm,cross_configuration,40,10,random,no_dueling,hnp,no_dueling,return,10,95.91050000000004,1.305121216166849,96.70900000000003,1.2660366854435383,-0.7985000000000013,-2.309616140255559,0.7126161402555562,-0.3780070070160775,0.255859375,1.0,exploratory_ablation_return_all_conditions_jammers
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,gamma0,hnp,hnp_gamma0,return,10,96.63000000000004,0.8674195447801815,96.82300000000004,0.6833300812930726,-0.19299999999999642,-1.03898192253972,0.6529819225397272,-0.16319956629955554,0.642578125,1.0,exploratory_ablation_return_all_conditions_jammers
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,no_polynomial,hnp,no_polynomial,return,10,96.63000000000004,0.8674195447801815,96.63450000000003,0.8776497972805807,-0.004500000000004434,-0.9923711517097306,0.9833711517097218,-0.0032586294997878395,0.99609375,1.0,exploratory_ablation_return_all_conditions_jammers
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,no_layernorm,hnp,no_layernorm,return,10,96.63000000000004,0.8674195447801815,96.70200000000004,0.37415979949154804,-0.07199999999999988,-0.8024821937364857,0.658482193736486,-0.0705091755456815,0.80859375,1.0,exploratory_ablation_return_all_conditions_jammers
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,no_dueling,hnp,no_dueling,return,10,96.63000000000004,0.8674195447801815,95.47650000000004,1.858991736877204,1.1534999999999882,-0.2234118934722069,2.5304118934721833,0.5992861235127424,0.095703125,1.0,exploratory_ablation_return_all_conditions_jammers
power_shift_20cm_5dBm,cross_configuration,20,5,random,gamma0,hnp,hnp_gamma0,return,10,97.28850000000003,1.0150233987450732,98.22600000000003,0.5486741595276134,-0.9374999999999872,-1.7994172554511048,-0.07558274454886982,-0.7780875659729667,0.03125,0.65625,exploratory_ablation_return_all_conditions_jammers
power_shift_20cm_5dBm,cross_configuration,20,5,random,no_polynomial,hnp,no_polynomial,return,10,97.28850000000003,1.0150233987450732,97.42050000000003,0.8423922614923635,-0.132000000000005,-1.0709514710404842,0.8069514710404742,-0.10056655163000816,0.767578125,1.0,exploratory_ablation_return_all_conditions_jammers
power_shift_20cm_5dBm,cross_configuration,20,5,random,no_layernorm,hnp,no_layernorm,return,10,97.28850000000003,1.0150233987450732,97.64450000000004,0.5439692086873933,-0.355999999999996,-1.2819118545866615,0.5699118545866694,-0.27504460307998935,0.40234375,1.0,exploratory_ablation_return_all_conditions_jammers
power_shift_20cm_5dBm,cross_configuration,20,5,random,no_dueling,hnp,no_dueling,return,10,97.28850000000003,1.0150233987450732,96.54100000000003,1.1915554726677429,0.7474999999999966,-0.3896040625248164,1.8846040625248097,0.4702553661086874,0.177734375,1.0,exploratory_ablation_return_all_conditions_jammers
