scan_id,jammer_channel_mhz,source_file,jammed_raw_snr_mean,nonjammed_raw_snr_mean,n_windows
5,5260,03_实验代码\experiment_v2\data\raw\samples_chamber_5260MHz_20cm_10dBm_5.csv,27.280420303344727,-0.5736426115036011,657
5,5280,03_实验代码\experiment_v2\data\raw\samples_chamber_5280MHz_20cm_10dBm_5.csv,27.402387619018555,-0.8715909719467163,657
5,5300,03_实验代码\experiment_v2\data\raw\samples_chamber_5300MHz_20cm_10dBm_5.csv,26.87191390991211,-0.9137073159217834,657
5,5320,03_实验代码\experiment_v2\data\raw\samples_chamber_5320MHz_20cm_10dBm_5.csv,26.672161102294922,-3.2980470657348633,657
6,5180,03_实验代码\experiment_v2\data\raw\samples_chamber_5180MHz_20cm_10dBm_6.csv,30.084850311279297,-2.632702350616455,657
6,5200,03_实验代码\experiment_v2\data\raw\samples_chamber_5200MHz_20cm_10dBm_6.csv,27.40944480895996,0.3569900691509247,657
6,5220,03_实验代码\experiment_v2\data\raw\samples_chamber_5220MHz_20cm_10dBm_6.csv,27.04784393310547,0.16610822081565857,657
6,5240,03_实验代码\experiment_v2\data\raw\samples_chamber_5240MHz_20cm_10dBm_6.csv,26.500898361206055,0.05148124322295189,657
6,5260,03_实验代码\experiment_v2\data\raw\samples_chamber_5260MHz_20cm_10dBm_6.csv,26.723642349243164,-0.5286118984222412,657
6,5280,03_实验代码\experiment_v2\data\raw\samples_chamber_5280MHz_20cm_10dBm_6.csv,26.870147705078125,-0.8309803009033203,657
6,5300,03_实验代码\experiment_v2\data\raw\samples_chamber_5300MHz_20cm_10dBm_6.csv,30.458202362060547,-1.075179100036621,657
6,5320,03_实验代码\experiment_v2\data\raw\samples_chamber_5320MHz_20cm_10dBm_6.csv,27.75323486328125,-2.9919798374176025,657
