condition,jammer_mode,method_a,method_b,metric,n_pairs,mean_a,sd_a,mean_b,sd_b,mean_difference,ci95_low,ci95_high,effect_dz,p_exact,p_holm
distance_shift_40cm_10dBm,random,hnp,threshold,return,10,89.3215,7.341827675116817,97.08500000000004,0.0,-7.763500000000026,-13.015527129971161,-2.511472870028892,-1.0574342443792786,0.013671875,0.013671875
distance_shift_40cm_10dBm,sweeping,hnp,schedule_sweep,return,10,89.506,6.723241116538304,98.60000000000002,0.0,-9.094000000000005,-13.903516963340438,-4.284483036659571,-1.3526214280237459,0.001953125,0.01171875
power_shift_20cm_5dBm,random,hnp,threshold,return,10,98.22600000000003,0.5486741595276149,96.70000000000003,0.0,1.5259999999999878,1.1335021508445604,1.9184978491554152,2.7812499887252007,0.001953125,0.01171875
power_shift_20cm_5dBm,sweeping,hnp,schedule_sweep,return,10,96.82300000000004,0.6833300812930707,98.60000000000002,0.0,-1.7769999999999926,-2.2658248927225646,-1.2881751072774206,-2.6005001808750494,0.001953125,0.01171875
within_condition_pilot,random,hnp,threshold,return,10,98.72950000000002,0.18484903750538015,96.90000000000005,1.4979556132593925e-14,1.829499999999986,1.6972669644552145,1.9617330355447573,9.897265491289005,0.001953125,0.01171875
within_condition_pilot,sweeping,hnp,schedule_sweep,return,10,97.09400000000002,0.6747048737534526,98.60000000000002,0.0,-1.5059999999999931,-1.9886547909435166,-1.0233452090564696,-2.232087033286065,0.001953125,0.01171875
