condition,condition_role,distance_cm,power_dbm,jammer_mode,method,train_seed,return,collisions,collision_rate,switches,switch_rate
power_shift_20cm_5dBm,cross_configuration,20,5,random,hnp,10.0,98.12500000000003,0.0,0.0,18.75,0.1875
power_shift_20cm_5dBm,cross_configuration,20,5,random,matched,1.0,97.73500000000004,0.0,0.0,22.65,0.2265
power_shift_20cm_5dBm,cross_configuration,20,5,random,matched,2.0,98.02500000000003,0.0,0.0,19.75,0.1975
power_shift_20cm_5dBm,cross_configuration,20,5,random,matched,3.0,97.70500000000003,0.0,0.0,22.95,0.22949999999999998
power_shift_20cm_5dBm,cross_configuration,20,5,random,matched,4.0,97.66500000000002,0.0,0.0,23.35,0.23349999999999999
power_shift_20cm_5dBm,cross_configuration,20,5,random,matched,5.0,98.49500000000002,0.0,0.0,15.05,0.15050000000000002
power_shift_20cm_5dBm,cross_configuration,20,5,random,matched,6.0,96.17000000000004,0.0,0.0,38.3,0.383
power_shift_20cm_5dBm,cross_configuration,20,5,random,matched,7.0,98.21500000000002,0.0,0.0,17.85,0.1785
power_shift_20cm_5dBm,cross_configuration,20,5,random,matched,8.0,98.10000000000002,0.25,0.0025,14.0,0.13999999999999999
power_shift_20cm_5dBm,cross_configuration,20,5,random,matched,9.0,97.31000000000003,0.0,0.0,26.9,0.269
power_shift_20cm_5dBm,cross_configuration,20,5,random,matched,10.0,97.86500000000004,0.0,0.0,21.35,0.21350000000000002
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,1.0,96.23500000000003,0.4,0.004,29.65,0.2965
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,2.0,96.22500000000004,0.55,0.0055,27.3,0.273
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,3.0,97.37000000000003,0.0,0.0,26.3,0.263
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,4.0,97.50000000000003,0.0,0.0,25.0,0.25
power_shift_20cm_5dBm,cross_configuration,20,5,sweeping,hnp,5.0,96.24500000000003,0.6,0.006,26.15,0.2615
