model,jammer_mode,train_seed,episode,epsilon,return,collisions,collision_rate,switches,switch_rate,steps,mean_td_mse,updates
hnp,sweeping,1,98,0.09259259259259259,94.80000000000007,0,0.0,52,0.52,100,0.009931804782245307,9837
hnp,sweeping,1,99,0.09174311926605504,93.30000000000004,1,0.01,48,0.48,100,0.01038349221693352,9937
hnp,sweeping,1,100,0.09090909090909091,90.9,2,0.02,53,0.53,100,0.010826355102472008,10037
hnp,sweeping,1,101,0.0900900900900901,93.50000000000003,1,0.01,46,0.46,100,0.007923045228235424,10137
hnp,sweeping,1,102,0.08928571428571429,92.90000000000005,1,0.01,52,0.52,100,0.008105532613117248,10237
hnp,sweeping,1,103,0.08849557522123894,93.90000000000006,1,0.01,41,0.41,100,0.008127737489994616,10337
hnp,sweeping,1,104,0.08771929824561403,93.70000000000003,1,0.01,44,0.44,100,0.008722035747487098,10437
hnp,sweeping,1,105,0.08695652173913043,92.80000000000007,1,0.01,53,0.53,100,0.008958902726881206,10537
hnp,sweeping,1,106,0.08620689655172414,95.30000000000007,0,0.0,47,0.47,100,0.007528688968159258,10637
hnp,sweeping,1,107,0.08547008547008547,94.50000000000007,0,0.0,55,0.55,100,0.009082654672674835,10737
hnp,sweeping,1,108,0.0847457627118644,95.80000000000007,0,0.0,42,0.42,100,0.007333660912699998,10837
hnp,sweeping,1,109,0.08403361344537814,94.40000000000006,1,0.01,37,0.37,100,0.006486048935912549,10937
hnp,sweeping,1,110,0.08333333333333333,91.10000000000005,2,0.02,51,0.51,100,0.007346793920733035,11037
hnp,sweeping,1,111,0.08264462809917356,91.00000000000006,2,0.02,52,0.52,100,0.007734311574604362,11137
hnp,sweeping,1,112,0.0819672131147541,95.60000000000005,0,0.0,44,0.44,100,0.007959747936110944,11237
hnp,sweeping,1,113,0.08130081300813008,95.70000000000005,0,0.0,43,0.43,100,0.00927426140056923,11337
hnp,sweeping,1,114,0.08064516129032258,89.60000000000004,3,0.03,47,0.47,100,0.007098696120083332,11437
hnp,sweeping,1,115,0.08,94.10000000000005,1,0.01,40,0.4,100,0.007673665597103536,11537
hnp,sweeping,1,116,0.07936507936507936,92.50000000000009,1,0.01,56,0.56,100,0.009450755855068564,11637
hnp,sweeping,1,117,0.07874015748031496,95.90000000000005,0,0.0,41,0.41,100,0.009431089477147906,11737
hnp,sweeping,1,118,0.078125,93.90000000000005,1,0.01,42,0.42,100,0.009303700532764197,11837
hnp,sweeping,1,119,0.07751937984496124,92.00000000000007,2,0.02,41,0.41,100,0.009895645102951676,11937
hnp,sweeping,1,120,0.07692307692307693,95.50000000000006,0,0.0,45,0.45,100,0.007556489964481443,12037
hnp,sweeping,1,121,0.07633587786259542,92.70000000000005,1,0.01,54,0.54,100,0.008833595155738293,12137
hnp,sweeping,1,122,0.07575757575757576,93.60000000000005,1,0.01,45,0.45,100,0.009406260992400349,12237
hnp,sweeping,1,123,0.07518796992481203,92.90000000000006,1,0.01,52,0.52,100,0.007813766705803573,12337
hnp,sweeping,1,124,0.07462686567164178,93.40000000000006,1,0.01,47,0.47,100,0.006738727560732513,12437
hnp,sweeping,1,125,0.07407407407407407,95.80000000000004,0,0.0,42,0.42,100,0.008951330740237608,12537
hnp,sweeping,1,126,0.07352941176470588,93.30000000000005,1,0.01,48,0.48,100,0.00937299277400598,12637
hnp,sweeping,1,127,0.07299270072992702,95.70000000000005,0,0.0,43,0.43,100,0.008323494254145771,12737
hnp,sweeping,1,128,0.07246376811594203,96.10000000000005,0,0.0,39,0.39,100,0.005949377240613103,12837
hnp,sweeping,1,129,0.07194244604316546,95.00000000000006,0,0.0,50,0.5,100,0.009837792615871876,12937
hnp,sweeping,1,130,0.07142857142857142,93.40000000000006,1,0.01,47,0.47,100,0.007382476001512259,13037
hnp,sweeping,1,131,0.07092198581560284,89.70000000000005,3,0.03,46,0.46,100,0.007256332240067422,13137
hnp,sweeping,1,132,0.07042253521126761,96.00000000000006,0,0.0,40,0.4,100,0.00780782647896558,13237
hnp,sweeping,1,133,0.06993006993006992,94.30000000000005,1,0.01,38,0.38,100,0.008904412181582302,13337
hnp,sweeping,1,134,0.06944444444444445,93.20000000000005,1,0.01,49,0.49,100,0.008274728504475207,13437
hnp,sweeping,1,135,0.06896551724137931,93.90000000000006,1,0.01,42,0.42,100,0.00881399623467587,13537
hnp,sweeping,1,136,0.0684931506849315,95.80000000000008,0,0.0,42,0.42,100,0.00851250738836825,13637
hnp,sweeping,1,137,0.06802721088435375,93.10000000000004,1,0.01,50,0.5,100,0.009000520650297404,13737
hnp,sweeping,1,138,0.06756756756756756,96.10000000000007,0,0.0,39,0.39,100,0.009788892939686775,13837
hnp,sweeping,1,139,0.06711409395973154,92.70000000000005,1,0.01,54,0.54,100,0.012095857798121869,13937
hnp,sweeping,1,140,0.06666666666666667,94.90000000000006,0,0.0,51,0.51,100,0.009572153168264777,14037
hnp,sweeping,1,141,0.06622516556291391,95.50000000000004,0,0.0,45,0.45,100,0.007507238807156682,14137
hnp,sweeping,1,142,0.06578947368421052,94.30000000000004,1,0.01,38,0.38,100,0.008673743198160081,14237
hnp,sweeping,1,143,0.06535947712418301,90.70000000000003,2,0.02,55,0.55,100,0.009187251455150544,14337
