model,jammer_mode,train_seed,episode,epsilon,return,collisions,collision_rate,switches,switch_rate,steps,mean_td_mse,updates
no_dueling,sweeping,1,0,1.0,78.30000000000001,7,0.07,82,0.82,100,0.15561253235146805,37
no_dueling,sweeping,1,1,0.9090909090909091,68.59999999999997,12,0.12,83,0.83,100,0.05463018475100398,137
no_dueling,sweeping,1,2,0.8333333333333334,69.79999999999997,11,0.11,89,0.89,100,0.0323016822617501,237
no_dueling,sweeping,1,3,0.7692307692307692,72.09999999999998,10,0.1,89,0.89,100,0.019685445595532657,337
no_dueling,sweeping,1,4,0.7142857142857143,70.59999999999998,11,0.11,85,0.85,100,0.008390244063921273,437
no_dueling,sweeping,1,5,0.6666666666666666,82.20000000000003,5,0.05,81,0.81,100,0.005916955594439059,537
no_dueling,sweeping,1,6,0.625,77.10000000000004,8,0.08,76,0.76,100,0.007198832808062434,637
no_dueling,sweeping,1,7,0.5882352941176471,75.3,9,0.09,75,0.75,100,0.004545518084196374,737
no_dueling,sweeping,1,8,0.5555555555555556,75.5,9,0.09,73,0.73,100,0.005480340837966651,837
no_dueling,sweeping,1,9,0.5263157894736842,80.90000000000003,6,0.06,76,0.76,100,0.004905264395056293,937
no_dueling,sweeping,1,10,0.5,77.10000000000004,8,0.08,77,0.77,100,0.0045911475154571234,1037
no_dueling,sweeping,1,11,0.47619047619047616,68.99999999999996,12,0.12,81,0.81,100,0.005342920194379985,1137
no_dueling,sweeping,1,12,0.45454545454545453,80.6,6,0.06,78,0.78,100,0.005818432488013059,1237
no_dueling,sweeping,1,13,0.4347826086956522,73.3,10,0.1,77,0.77,100,0.0045074910996481775,1337
no_dueling,sweeping,1,14,0.4166666666666667,89.10000000000008,2,0.02,71,0.71,100,0.004990461098495871,1437
no_dueling,sweeping,1,15,0.4,83.40000000000005,5,0.05,71,0.71,100,0.007012151782400906,1537
no_dueling,sweeping,1,16,0.3846153846153846,87.40000000000006,3,0.03,69,0.69,100,0.006089467022102326,1637
no_dueling,sweeping,1,17,0.37037037037037035,83.50000000000004,5,0.05,69,0.69,100,0.008175423643551767,1737
no_dueling,sweeping,1,18,0.35714285714285715,86.70000000000006,3,0.03,75,0.75,100,0.0073156051361002025,1837
no_dueling,sweeping,1,19,0.3448275862068966,90.50000000000007,1,0.01,76,0.76,100,0.007138094743713737,1937
no_dueling,sweeping,1,20,0.3333333333333333,93.30000000000007,0,0.0,67,0.67,100,0.006768920100294054,2037
no_dueling,sweeping,1,21,0.3225806451612903,79.4,7,0.07,72,0.72,100,0.009677287240047008,2137
no_dueling,sweeping,1,22,0.3125,83.20000000000007,5,0.05,73,0.73,100,0.009286824746523053,2237
no_dueling,sweeping,1,23,0.30303030303030304,73.9,10,0.1,70,0.7,100,0.009006589169148356,2337
no_dueling,sweeping,1,24,0.29411764705882354,87.40000000000005,3,0.03,68,0.68,100,0.007035758146084845,2437
no_dueling,sweeping,1,25,0.2857142857142857,89.70000000000009,2,0.02,65,0.65,100,0.006624466960784048,2537
no_dueling,sweeping,1,26,0.2777777777777778,80.80000000000004,7,0.07,55,0.55,100,0.008311812866013497,2637
no_dueling,sweeping,1,27,0.27027027027027023,84.90000000000005,4,0.04,75,0.75,100,0.0070253208512440326,2737
no_dueling,sweeping,1,28,0.2631578947368421,89.60000000000007,2,0.02,66,0.66,100,0.007489883115049452,2837
no_dueling,sweeping,1,29,0.25641025641025644,92.90000000000008,0,0.0,71,0.71,100,0.0084755021170713,2937
no_dueling,sweeping,1,30,0.25,77.90000000000002,8,0.08,68,0.68,100,0.007908697845414281,3037
no_dueling,sweeping,1,31,0.24390243902439027,91.80000000000005,1,0.01,63,0.63,100,0.0066916569974273445,3137
no_dueling,sweeping,1,32,0.23809523809523808,86.70000000000006,3,0.03,76,0.76,100,0.008852571623865515,3237
no_dueling,sweeping,1,33,0.23255813953488372,83.60000000000001,5,0.05,69,0.69,100,0.007798382225446403,3337
no_dueling,sweeping,1,34,0.22727272727272727,91.70000000000005,1,0.01,63,0.63,100,0.00707261891104281,3437
no_dueling,sweeping,1,35,0.2222222222222222,83.90000000000003,5,0.05,65,0.65,100,0.008350937950890511,3537
no_dueling,sweeping,1,36,0.2173913043478261,83.30000000000005,5,0.05,71,0.71,100,0.007778895900119096,3637
no_dueling,sweeping,1,37,0.2127659574468085,85.50000000000004,4,0.04,67,0.67,100,0.007365106230136007,3737
no_dueling,sweeping,1,38,0.20833333333333334,87.20000000000007,3,0.03,71,0.71,100,0.00817983440356329,3837
no_dueling,sweeping,1,39,0.2040816326530612,88.20000000000005,3,0.03,59,0.59,100,0.008048983099870384,3937
no_dueling,sweeping,1,40,0.2,89.90000000000008,2,0.02,63,0.63,100,0.006423103848937899,4037
no_dueling,sweeping,1,41,0.19607843137254904,89.90000000000008,2,0.02,63,0.63,100,0.007307060789316893,4137
no_dueling,sweeping,1,42,0.1923076923076923,90.10000000000004,2,0.02,61,0.61,100,0.006053830801974982,4237
no_dueling,sweeping,1,43,0.18867924528301888,89.50000000000004,2,0.02,67,0.67,100,0.009678460517898202,4337
no_dueling,sweeping,1,44,0.18518518518518517,92.00000000000009,1,0.01,60,0.6,100,0.006525454055517912,4437
no_dueling,sweeping,1,45,0.18181818181818182,90.50000000000009,1,0.01,76,0.76,100,0.008087245584465563,4537
no_dueling,sweeping,1,46,0.17857142857142858,85.80000000000007,4,0.04,64,0.64,100,0.010690407282672822,4637
no_dueling,sweeping,1,47,0.17543859649122806,85.4,4,0.04,70,0.7,100,0.007607766904402524,4737
no_dueling,sweeping,1,48,0.1724137931034483,91.30000000000004,1,0.01,68,0.68,100,0.010117449332028627,4837
no_dueling,sweeping,1,49,0.1694915254237288,84.10000000000007,5,0.05,64,0.64,100,0.008997932651545852,4937
no_dueling,sweeping,1,50,0.16666666666666666,91.00000000000007,1,0.01,71,0.71,100,0.008050241030286998,5037
no_dueling,sweeping,1,51,0.1639344262295082,85.10000000000002,4,0.04,73,0.73,100,0.00816260470310226,5137
no_dueling,sweeping,1,52,0.16129032258064516,81.50000000000003,6,0.06,70,0.7,100,0.009423290363047272,5237
no_dueling,sweeping,1,53,0.15873015873015872,90.20000000000005,2,0.02,60,0.6,100,0.010663109743036329,5337
no_dueling,sweeping,1,54,0.15625,85.50000000000007,4,0.04,68,0.68,100,0.008851619157940149,5437
no_dueling,sweeping,1,55,0.15384615384615385,92.20000000000005,1,0.01,59,0.59,100,0.008116489395033568,5537
no_dueling,sweeping,1,56,0.15151515151515152,83.20000000000003,5,0.05,71,0.71,100,0.01091813531704247,5637
no_dueling,sweeping,1,57,0.14925373134328357,89.30000000000007,2,0.02,68,0.68,100,0.00919515835819766,5737
no_dueling,sweeping,1,58,0.14705882352941177,92.20000000000005,1,0.01,59,0.59,100,0.008292563911527395,5837
no_dueling,sweeping,1,59,0.14492753623188406,94.00000000000009,0,0.0,60,0.6,100,0.008244320629164576,5937
no_dueling,sweeping,1,60,0.14285714285714285,89.80000000000008,2,0.02,64,0.64,100,0.009247911302372814,6037
no_dueling,sweeping,1,61,0.14084507042253522,89.30000000000003,2,0.02,69,0.69,100,0.008761140606366099,6137
no_dueling,sweeping,1,62,0.1388888888888889,91.20000000000009,1,0.01,69,0.69,100,0.007187572175171226,6237
