record_type,profile_order,model,jammer_mode,profiling_seed,profiling_seed_role,training_data_scope,validation_loaded_not_used_for_training,train_episodes,episode_length,environment_steps,optimizer_updates,cpu_intraop_threads,cpu_interop_threads,agent_initialization_wall_seconds,training_loop_wall_seconds,agent_init_plus_training_wall_seconds,trainable_parameters,parameter_bytes,registered_buffer_bytes,inference_persistent_tensor_bytes,inference_persistent_tensor_bytes_scope,canonical_train_seed,checkpoint_path,checkpoint_sha256,checkpoint_bytes,latency_input,latency_warmup,latency_repetitions,latency_synchronization,gpu_latency_pacing_seconds,gpu_latency_pacing_scope,gpu_utilization_intent,batch1_cpu_latency_ms_median,batch1_cpu_latency_ms_mean,batch1_cpu_latency_ms_p05,batch1_cpu_latency_ms_p95,batch1_gpu_latency_ms_median,batch1_gpu_latency_ms_mean,batch1_gpu_latency_ms_p05,batch1_gpu_latency_ms_p95,serialized_state_bytes,serialized_state_bytes_role,checkpoint_bytes_role
canonical_checkpoint_inference,4,hnp,random,,engineering cost-profiling seeds only; not units for policy-performance inference,,,,,,,,,,,,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, optimizer state, framework/runtime objects, temporary workspaces, and allocator overhead",5.0,04_正式结果与审计\formal_artifacts\primary\checkpoints\hnp_random_seed5.pt,88fd939d8f5a613407f94bae11a361a1047c635ee56680404ca2a6cbdbe8c46f,558223.0,batch-1 all-zero normalized 48D observation,200.0,1000.0,per-forward torch.cuda.synchronize,0.005,fixed sleep after every GPU warm-up forward+sync and after every recorded GPU forward+sync; sleep occurs outside the recorded latency interval,"5 ms fixed pacing is designed to keep average utilization substantially below 85% on an otherwise idle, exclusively profiled GPU; external GPU load invalidates that operating condition",0.1043,0.1218209,0.09859499999999999,0.18708999999999992,1.41315,1.5975882000000001,0.893285,2.8952499999999994,140193.0,"storage size, not memory","storage size, not memory"
canonical_checkpoint_inference,5,hnp,random,,engineering cost-profiling seeds only; not units for policy-performance inference,,,,,,,,,,,,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, optimizer state, framework/runtime objects, temporary workspaces, and allocator overhead",6.0,04_正式结果与审计\formal_artifacts\primary\checkpoints\hnp_random_seed6.pt,20ea86474bd3288953739f2d98c7bd7d641d09b753be669b27022daee81a78e5,558223.0,batch-1 all-zero normalized 48D observation,200.0,1000.0,per-forward torch.cuda.synchronize,0.005,fixed sleep after every GPU warm-up forward+sync and after every recorded GPU forward+sync; sleep occurs outside the recorded latency interval,"5 ms fixed pacing is designed to keep average utilization substantially below 85% on an otherwise idle, exclusively profiled GPU; external GPU load invalidates that operating condition",0.1195,0.1456092,0.0955,0.20435999999999996,1.4771999999999998,1.7579421000000002,0.905895,3.5170049999999997,140193.0,"storage size, not memory","storage size, not memory"
canonical_checkpoint_inference,6,hnp,random,,engineering cost-profiling seeds only; not units for policy-performance inference,,,,,,,,,,,,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, optimizer state, framework/runtime objects, temporary workspaces, and allocator overhead",7.0,04_正式结果与审计\formal_artifacts\primary\checkpoints\hnp_random_seed7.pt,6448046547355da17612753d70d874a593ffe8f1e06823d6fe41619806d7a4b9,558223.0,batch-1 all-zero normalized 48D observation,200.0,1000.0,per-forward torch.cuda.synchronize,0.005,fixed sleep after every GPU warm-up forward+sync and after every recorded GPU forward+sync; sleep occurs outside the recorded latency interval,"5 ms fixed pacing is designed to keep average utilization substantially below 85% on an otherwise idle, exclusively profiled GPU; external GPU load invalidates that operating condition",0.11935000000000001,0.17090629999999998,0.0963,0.4422299999999999,1.4575,1.751944,0.896185,3.536424999999999,140193.0,"storage size, not memory","storage size, not memory"
canonical_checkpoint_inference,7,hnp,random,,engineering cost-profiling seeds only; not units for policy-performance inference,,,,,,,,,,,,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, optimizer state, framework/runtime objects, temporary workspaces, and allocator overhead",8.0,04_正式结果与审计\formal_artifacts\primary\checkpoints\hnp_random_seed8.pt,9602c25a706449b5f4ffb22fe1aa0561d542278aa02cf97a4fd565a94b56de24,558223.0,batch-1 all-zero normalized 48D observation,200.0,1000.0,per-forward torch.cuda.synchronize,0.005,fixed sleep after every GPU warm-up forward+sync and after every recorded GPU forward+sync; sleep occurs outside the recorded latency interval,"5 ms fixed pacing is designed to keep average utilization substantially below 85% on an otherwise idle, exclusively profiled GPU; external GPU load invalidates that operating condition",0.11395,0.14746959999999998,0.0965,0.23626999999999984,1.4727000000000001,1.7744158000000003,0.9069550000000001,3.7628849999999985,140193.0,"storage size, not memory","storage size, not memory"
canonical_checkpoint_inference,8,hnp,random,,engineering cost-profiling seeds only; not units for policy-performance inference,,,,,,,,,,,,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, optimizer state, framework/runtime objects, temporary workspaces, and allocator overhead",9.0,04_正式结果与审计\formal_artifacts\primary\checkpoints\hnp_random_seed9.pt,d8ad0c62c7071063917368e8fd083a09284c3f6de417f0c6bb6ca574d07211a2,558223.0,batch-1 all-zero normalized 48D observation,200.0,1000.0,per-forward torch.cuda.synchronize,0.005,fixed sleep after every GPU warm-up forward+sync and after every recorded GPU forward+sync; sleep occurs outside the recorded latency interval,"5 ms fixed pacing is designed to keep average utilization substantially below 85% on an otherwise idle, exclusively profiled GPU; external GPU load invalidates that operating condition",0.12175,0.1308397,0.094495,0.18233999999999986,1.4057499999999998,1.6616521000000002,0.89554,3.23601,140193.0,"storage size, not memory","storage size, not memory"
canonical_checkpoint_inference,9,hnp,random,,engineering cost-profiling seeds only; not units for policy-performance inference,,,,,,,,,,,,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, optimizer state, framework/runtime objects, temporary workspaces, and allocator overhead",10.0,04_正式结果与审计\formal_artifacts\primary\checkpoints\hnp_random_seed10.pt,7b4cb3e07046ca207c3d3b92ed203d44e8d0001d92c217031b5a1281bc2c6ecb,558223.0,batch-1 all-zero normalized 48D observation,200.0,1000.0,per-forward torch.cuda.synchronize,0.005,fixed sleep after every GPU warm-up forward+sync and after every recorded GPU forward+sync; sleep occurs outside the recorded latency interval,"5 ms fixed pacing is designed to keep average utilization substantially below 85% on an otherwise idle, exclusively profiled GPU; external GPU load invalidates that operating condition",0.10014999999999999,0.12148010000000001,0.0939,0.20158999999999994,1.45995,1.6871403999999999,0.90602,3.1334549999999957,140193.0,"storage size, not memory","storage size, not memory"
canonical_checkpoint_inference,10,hnp,sweeping,,engineering cost-profiling seeds only; not units for policy-performance inference,,,,,,,,,,,,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, optimizer state, framework/runtime objects, temporary workspaces, and allocator overhead",1.0,04_正式结果与审计\formal_artifacts\primary\checkpoints\hnp_sweeping_seed1.pt,a777bb07c4605a558268cd4191f3459beec87934e57ce0a76b81938c9decaa08,558223.0,batch-1 all-zero normalized 48D observation,200.0,1000.0,per-forward torch.cuda.synchronize,0.005,fixed sleep after every GPU warm-up forward+sync and after every recorded GPU forward+sync; sleep occurs outside the recorded latency interval,"5 ms fixed pacing is designed to keep average utilization substantially below 85% on an otherwise idle, exclusively profiled GPU; external GPU load invalidates that operating condition",0.122,0.1553755,0.095995,0.26068999999999937,1.3747500000000001,1.6760548,0.91663,3.2925449999999996,140193.0,"storage size, not memory","storage size, not memory"
canonical_checkpoint_inference,11,hnp,sweeping,,engineering cost-profiling seeds only; not units for policy-performance inference,,,,,,,,,,,,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, optimizer state, framework/runtime objects, temporary workspaces, and allocator overhead",2.0,04_正式结果与审计\formal_artifacts\primary\checkpoints\hnp_sweeping_seed2.pt,ea94e9b0ffb471f839c831ac6a50b6b7819be92eb789b851818162dca1af7adf,558223.0,batch-1 all-zero normalized 48D observation,200.0,1000.0,per-forward torch.cuda.synchronize,0.005,fixed sleep after every GPU warm-up forward+sync and after every recorded GPU forward+sync; sleep occurs outside the recorded latency interval,"5 ms fixed pacing is designed to keep average utilization substantially below 85% on an otherwise idle, exclusively profiled GPU; external GPU load invalidates that operating condition",0.10014999999999999,0.1207407,0.0953,0.1669149999999999,1.4168,1.7238876,0.92646,3.767639999999998,140193.0,"storage size, not memory","storage size, not memory"
canonical_checkpoint_inference,12,hnp,sweeping,,engineering cost-profiling seeds only; not units for policy-performance inference,,,,,,,,,,,,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, optimizer state, framework/runtime objects, temporary workspaces, and allocator overhead",3.0,04_正式结果与审计\formal_artifacts\primary\checkpoints\hnp_sweeping_seed3.pt,c126937bdb2952a9da9630cdab84e5b264ea24c82c4a751a5c0c95c58e912555,558223.0,batch-1 all-zero normalized 48D observation,200.0,1000.0,per-forward torch.cuda.synchronize,0.005,fixed sleep after every GPU warm-up forward+sync and after every recorded GPU forward+sync; sleep occurs outside the recorded latency interval,"5 ms fixed pacing is designed to keep average utilization substantially below 85% on an otherwise idle, exclusively profiled GPU; external GPU load invalidates that operating condition",0.1258,0.1548723,0.10489499999999999,0.27516499999999994,1.3373,1.6179658,0.911715,3.297219999999999,140193.0,"storage size, not memory","storage size, not memory"
canonical_checkpoint_inference,13,hnp,sweeping,,engineering cost-profiling seeds only; not units for policy-performance inference,,,,,,,,,,,,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, optimizer state, framework/runtime objects, temporary workspaces, and allocator overhead",4.0,04_正式结果与审计\formal_artifacts\primary\checkpoints\hnp_sweeping_seed4.pt,e1717da2e9c59518e8f2b762331d87900cbf856674cba0b2e11c034931f9d6d7,558223.0,batch-1 all-zero normalized 48D observation,200.0,1000.0,per-forward torch.cuda.synchronize,0.005,fixed sleep after every GPU warm-up forward+sync and after every recorded GPU forward+sync; sleep occurs outside the recorded latency interval,"5 ms fixed pacing is designed to keep average utilization substantially below 85% on an otherwise idle, exclusively profiled GPU; external GPU load invalidates that operating condition",0.10925,0.1209033,0.0973,0.16262,1.44,1.727361,0.9108900000000001,3.5598099999999975,140193.0,"storage size, not memory","storage size, not memory"
canonical_checkpoint_inference,14,hnp,sweeping,,engineering cost-profiling seeds only; not units for policy-performance inference,,,,,,,,,,,,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, optimizer state, framework/runtime objects, temporary workspaces, and allocator overhead",5.0,04_正式结果与审计\formal_artifacts\primary\checkpoints\hnp_sweeping_seed5.pt,ca9cd202c645122ec72b094d759347206d2f8fad6301a233b694ecd39dc5001d,558223.0,batch-1 all-zero normalized 48D observation,200.0,1000.0,per-forward torch.cuda.synchronize,0.005,fixed sleep after every GPU warm-up forward+sync and after every recorded GPU forward+sync; sleep occurs outside the recorded latency interval,"5 ms fixed pacing is designed to keep average utilization substantially below 85% on an otherwise idle, exclusively profiled GPU; external GPU load invalidates that operating condition",0.1218,0.1481203,0.0958,0.25141499999999994,1.4217499999999998,1.7039164,0.916225,3.455849999999999,140193.0,"storage size, not memory","storage size, not memory"
canonical_checkpoint_inference,15,hnp,sweeping,,engineering cost-profiling seeds only; not units for policy-performance inference,,,,,,,,,,,,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, optimizer state, framework/runtime objects, temporary workspaces, and allocator overhead",6.0,04_正式结果与审计\formal_artifacts\primary\checkpoints\hnp_sweeping_seed6.pt,f0bfd30858d67416afa822b981aec7b5e6d7af7e53dd3f6b9dbf452ea9e84973,558223.0,batch-1 all-zero normalized 48D observation,200.0,1000.0,per-forward torch.cuda.synchronize,0.005,fixed sleep after every GPU warm-up forward+sync and after every recorded GPU forward+sync; sleep occurs outside the recorded latency interval,"5 ms fixed pacing is designed to keep average utilization substantially below 85% on an otherwise idle, exclusively profiled GPU; external GPU load invalidates that operating condition",0.1242,0.15439920000000001,0.101395,0.288105,1.3994,1.6573324999999999,0.894895,3.277854999999998,140193.0,"storage size, not memory","storage size, not memory"
canonical_checkpoint_inference,16,hnp,sweeping,,engineering cost-profiling seeds only; not units for policy-performance inference,,,,,,,,,,,,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, optimizer state, framework/runtime objects, temporary workspaces, and allocator overhead",7.0,04_正式结果与审计\formal_artifacts\primary\checkpoints\hnp_sweeping_seed7.pt,3ab0f64a93352d9cdbd2a91cf35f721ad1b9ae94f19f8cdf23d61ac7e81c4635,558223.0,batch-1 all-zero normalized 48D observation,200.0,1000.0,per-forward torch.cuda.synchronize,0.005,fixed sleep after every GPU warm-up forward+sync and after every recorded GPU forward+sync; sleep occurs outside the recorded latency interval,"5 ms fixed pacing is designed to keep average utilization substantially below 85% on an otherwise idle, exclusively profiled GPU; external GPU load invalidates that operating condition",0.1136,0.1440164,0.098995,0.27815999999999985,1.3808,1.6685405,0.905795,3.621154999999999,140193.0,"storage size, not memory","storage size, not memory"
canonical_checkpoint_inference,17,hnp,sweeping,,engineering cost-profiling seeds only; not units for policy-performance inference,,,,,,,,,,,,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, optimizer state, framework/runtime objects, temporary workspaces, and allocator overhead",8.0,04_正式结果与审计\formal_artifacts\primary\checkpoints\hnp_sweeping_seed8.pt,c5d489701525d824e77803f5d6a0973f8462ec99bc15f5b6280784e813c5a9ea,558223.0,batch-1 all-zero normalized 48D observation,200.0,1000.0,per-forward torch.cuda.synchronize,0.005,fixed sleep after every GPU warm-up forward+sync and after every recorded GPU forward+sync; sleep occurs outside the recorded latency interval,"5 ms fixed pacing is designed to keep average utilization substantially below 85% on an otherwise idle, exclusively profiled GPU; external GPU load invalidates that operating condition",0.11485000000000001,0.1342155,0.1028,0.18625499999999995,1.39255,1.691895,0.907885,3.63998,140193.0,"storage size, not memory","storage size, not memory"
canonical_checkpoint_inference,18,hnp,sweeping,,engineering cost-profiling seeds only; not units for policy-performance inference,,,,,,,,,,,,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, optimizer state, framework/runtime objects, temporary workspaces, and allocator overhead",9.0,04_正式结果与审计\formal_artifacts\primary\checkpoints\hnp_sweeping_seed9.pt,7885139b43d1b0f377d0fab856bf3aa8612561487e9bccd21e402b048b102d4d,558223.0,batch-1 all-zero normalized 48D observation,200.0,1000.0,per-forward torch.cuda.synchronize,0.005,fixed sleep after every GPU warm-up forward+sync and after every recorded GPU forward+sync; sleep occurs outside the recorded latency interval,"5 ms fixed pacing is designed to keep average utilization substantially below 85% on an otherwise idle, exclusively profiled GPU; external GPU load invalidates that operating condition",0.12265000000000001,0.14305349999999997,0.0967,0.22287499999999993,1.40915,1.7197065,0.917715,3.769564999999998,140193.0,"storage size, not memory","storage size, not memory"
canonical_checkpoint_inference,19,hnp,sweeping,,engineering cost-profiling seeds only; not units for policy-performance inference,,,,,,,,,,,,32841,131364,1552,132916,"parameters + registered buffers only; excludes activations, optimizer state, framework/runtime objects, temporary workspaces, and allocator overhead",10.0,04_正式结果与审计\formal_artifacts\primary\checkpoints\hnp_sweeping_seed10.pt,08cc024a1f876bdfbeb34bca1c4880345b0ac40db025b1556f8fd77a421b0190,558223.0,batch-1 all-zero normalized 48D observation,200.0,1000.0,per-forward torch.cuda.synchronize,0.005,fixed sleep after every GPU warm-up forward+sync and after every recorded GPU forward+sync; sleep occurs outside the recorded latency interval,"5 ms fixed pacing is designed to keep average utilization substantially below 85% on an otherwise idle, exclusively profiled GPU; external GPU load invalidates that operating condition",0.1215,0.1397516,0.0994,0.22312499999999988,1.3885,1.6937580000000003,0.91111,3.570829999999999,140193.0,"storage size, not memory","storage size, not memory"
canonical_checkpoint_inference,20,matched,random,,engineering cost-profiling seeds only; not units for policy-performance inference,,,,,,,,,,,,32691,130764,2432,133196,"parameters + registered buffers only; excludes activations, optimizer state, framework/runtime objects, temporary workspaces, and allocator overhead",1.0,04_正式结果与审计\formal_artifacts\primary\checkpoints\matched_random_seed1.pt,f7773659e4ef0f9ff74a3b07a0599a708d6bc80dea7875fca95472e45acdd622,551115.0,batch-1 all-zero normalized 48D observation,200.0,1000.0,per-forward torch.cuda.synchronize,0.005,fixed sleep after every GPU warm-up forward+sync and after every recorded GPU forward+sync; sleep occurs outside the recorded latency interval,"5 ms fixed pacing is designed to keep average utilization substantially below 85% on an otherwise idle, exclusively profiled GPU; external GPU load invalidates that operating condition",0.0869,0.09797489999999999,0.06859499999999999,0.1348,1.13185,1.3595663,0.7514799999999999,2.794624999999998,139309.0,"storage size, not memory","storage size, not memory"
