model,jammer_mode,train_seed,episode,epsilon,return,collisions,collision_rate,switches,switch_rate,steps,mean_td_mse,updates
no_polynomial,sweeping,1,45,0.18181818181818182,92.10000000000005,1,0.01,60,0.6,100,0.005899536008946597,4537
no_polynomial,sweeping,1,46,0.17857142857142858,86.10000000000008,4,0.04,63,0.63,100,0.006126773688010872,4637
no_polynomial,sweeping,1,47,0.17543859649122806,86.10000000000005,4,0.04,62,0.62,100,0.006885430938564241,4737
no_polynomial,sweeping,1,48,0.1724137931034483,92.40000000000005,1,0.01,57,0.57,100,0.005894033603835851,4837
no_polynomial,sweeping,1,49,0.1694915254237288,85.10000000000005,5,0.05,54,0.54,100,0.0066244607418775555,4937
no_polynomial,sweeping,1,50,0.16666666666666666,92.40000000000006,1,0.01,57,0.57,100,0.006223441718611866,5037
no_polynomial,sweeping,1,51,0.1639344262295082,86.90000000000005,4,0.04,55,0.55,100,0.004189907066756859,5137
no_polynomial,sweeping,1,52,0.16129032258064516,82.30000000000004,6,0.06,63,0.63,100,0.0051700678630732,5237
no_polynomial,sweeping,1,53,0.15873015873015872,90.60000000000005,2,0.02,56,0.56,100,0.005559204911114648,5337
no_polynomial,sweeping,1,54,0.15625,87.80000000000004,4,0.04,45,0.45,100,0.006003651756327599,5437
no_polynomial,sweeping,1,55,0.15384615384615385,92.80000000000007,1,0.01,53,0.53,100,0.0077694454649463295,5537
no_polynomial,sweeping,1,56,0.15151515151515152,84.80000000000003,5,0.05,55,0.55,100,0.0071685366076417265,5637
no_polynomial,sweeping,1,57,0.14925373134328357,92.20000000000005,2,0.02,40,0.4,100,0.005556016582995653,5737
no_polynomial,sweeping,1,58,0.14705882352941177,92.10000000000008,1,0.01,60,0.6,100,0.006114214465487749,5837
no_polynomial,sweeping,1,59,0.14492753623188406,94.20000000000007,0,0.0,58,0.58,100,0.005768987738993019,5937
no_polynomial,sweeping,1,60,0.14285714285714285,91.50000000000007,2,0.02,47,0.47,100,0.004911454343236983,6037
no_polynomial,sweeping,1,61,0.14084507042253522,90.20000000000005,2,0.02,60,0.6,100,0.0066673917439766224,6137
no_polynomial,sweeping,1,62,0.1388888888888889,92.80000000000005,1,0.01,53,0.53,100,0.004558664611540735,6237
no_polynomial,sweeping,1,63,0.136986301369863,82.40000000000002,6,0.06,61,0.61,100,0.00450710017234087,6337
no_polynomial,sweeping,1,64,0.13513513513513511,94.60000000000005,0,0.0,54,0.54,100,0.005799633970018476,6437
no_polynomial,sweeping,1,65,0.13333333333333333,93.60000000000004,1,0.01,45,0.45,100,0.00649665436707437,6537
no_polynomial,sweeping,1,66,0.13157894736842105,95.10000000000005,0,0.0,49,0.49,100,0.006042287453310564,6637
no_polynomial,sweeping,1,67,0.12987012987012986,86.60000000000002,4,0.04,58,0.58,100,0.006739420183002949,6737
no_polynomial,sweeping,1,68,0.12820512820512822,87.20000000000003,4,0.04,52,0.52,100,0.005439073548186571,6837
no_polynomial,sweeping,1,69,0.12658227848101264,93.10000000000007,1,0.01,50,0.5,100,0.006823654854670167,6937
no_polynomial,sweeping,1,70,0.125,88.00000000000003,4,0.04,43,0.43,100,0.008200214561074972,7037
no_polynomial,sweeping,1,71,0.1234567901234568,89.10000000000005,3,0.03,52,0.52,100,0.00722448919666931,7137
no_polynomial,sweeping,1,72,0.12195121951219513,93.00000000000006,1,0.01,51,0.51,100,0.006810609963722527,7237
no_polynomial,sweeping,1,73,0.12048192771084336,93.00000000000003,1,0.01,51,0.51,100,0.007947780068498105,7337
no_polynomial,sweeping,1,74,0.11904761904761904,88.60000000000005,3,0.03,57,0.57,100,0.004786970922723412,7437
no_polynomial,sweeping,1,75,0.11764705882352941,95.80000000000004,0,0.0,42,0.42,100,0.0058710916060954335,7537
no_polynomial,sweeping,1,76,0.11627906976744186,93.90000000000003,1,0.01,42,0.42,100,0.0069538035418372605,7637
no_polynomial,sweeping,1,77,0.1149425287356322,90.20000000000003,3,0.03,40,0.4,100,0.005882444387534633,7737
no_polynomial,sweeping,1,78,0.11363636363636363,95.00000000000004,0,0.0,50,0.5,100,0.005713396975770593,7837
no_polynomial,sweeping,1,79,0.11235955056179775,91.00000000000006,2,0.02,52,0.52,100,0.007743646090384573,7937
no_polynomial,sweeping,1,80,0.1111111111111111,90.20000000000005,3,0.03,40,0.4,100,0.012062390903010964,8037
no_polynomial,sweeping,1,81,0.10989010989010989,91.70000000000006,2,0.02,45,0.45,100,0.005677350128535181,8137
no_polynomial,sweeping,1,82,0.10869565217391305,95.10000000000005,0,0.0,49,0.49,100,0.007564293779432773,8237
no_polynomial,sweeping,1,83,0.1075268817204301,93.00000000000006,1,0.01,51,0.51,100,0.006202638235408813,8337
no_polynomial,sweeping,1,84,0.10638297872340426,94.90000000000006,0,0.0,51,0.51,100,0.005826505664736033,8437
no_polynomial,sweeping,1,85,0.10526315789473684,95.50000000000003,0,0.0,45,0.45,100,0.006254845093935728,8537
no_polynomial,sweeping,1,86,0.10416666666666667,93.30000000000001,1,0.01,48,0.48,100,0.008477037467528134,8637
no_polynomial,sweeping,1,87,0.10309278350515465,91.80000000000004,2,0.02,44,0.44,100,0.005468916888348758,8737
no_polynomial,sweeping,1,88,0.1020408163265306,93.20000000000003,1,0.01,49,0.49,100,0.007205155834089965,8837
no_polynomial,sweeping,1,89,0.10101010101010101,87.60000000000002,4,0.04,48,0.48,100,0.006968603460118175,8937
no_polynomial,sweeping,1,90,0.1,91.80000000000001,2,0.02,44,0.44,100,0.006836229206528515,9037
no_polynomial,sweeping,1,91,0.09900990099009901,95.2000000000001,0,0.0,48,0.48,100,0.006547121993498876,9137
no_polynomial,sweeping,1,92,0.09803921568627452,95.00000000000003,0,0.0,50,0.5,100,0.008349109156988561,9237
no_polynomial,sweeping,1,93,0.0970873786407767,90.30000000000001,3,0.03,40,0.4,100,0.006407631011679769,9337
no_polynomial,sweeping,1,94,0.09615384615384615,92.60000000000005,1,0.01,55,0.55,100,0.005838635971304029,9437
no_polynomial,sweeping,1,95,0.09523809523809523,90.60000000000002,2,0.02,56,0.56,100,0.009072339951526374,9537
no_polynomial,sweeping,1,96,0.09433962264150944,94.90000000000008,0,0.0,51,0.51,100,0.005752956209471449,9637
no_polynomial,sweeping,1,97,0.09345794392523366,94.90000000000006,0,0.0,51,0.51,100,0.006616536362562328,9737
no_polynomial,sweeping,1,98,0.09259259259259259,95.80000000000007,0,0.0,42,0.42,100,0.005484199575148523,9837
no_polynomial,sweeping,1,99,0.09174311926605504,94.10000000000002,1,0.01,40,0.4,100,0.007449550387682393,9937
no_polynomial,sweeping,1,100,0.09090909090909091,91.10000000000008,2,0.02,50,0.5,100,0.005451040065381676,10037
no_polynomial,sweeping,1,101,0.0900900900900901,93.50000000000006,1,0.01,46,0.46,100,0.006426979887764901,10137
no_polynomial,sweeping,1,102,0.08928571428571429,93.20000000000005,1,0.01,49,0.49,100,0.0061186513327993455,10237
no_polynomial,sweeping,1,103,0.08849557522123894,93.90000000000006,1,0.01,42,0.42,100,0.004509603646583855,10337
no_polynomial,sweeping,1,104,0.08771929824561403,93.70000000000005,1,0.01,44,0.44,100,0.005745827844366431,10437
no_polynomial,sweeping,1,105,0.08695652173913043,94.60000000000001,1,0.01,35,0.35,100,0.0048965332109946755,10537
no_polynomial,sweeping,1,106,0.08620689655172414,96.10000000000005,0,0.0,39,0.39,100,0.003951021537650376,10637
no_polynomial,sweeping,1,107,0.08547008547008547,95.60000000000005,0,0.0,44,0.44,100,0.006618387589696795,10737
no_polynomial,sweeping,1,108,0.0847457627118644,96.00000000000004,0,0.0,40,0.4,100,0.007050298715475947,10837
no_polynomial,sweeping,1,109,0.08403361344537814,93.80000000000005,1,0.01,42,0.42,100,0.006826486238278449,10937
no_polynomial,sweeping,1,110,0.08333333333333333,91.40000000000006,2,0.02,48,0.48,100,0.005905345787759871,11037
no_polynomial,sweeping,1,111,0.08264462809917356,91.30000000000004,2,0.02,48,0.48,100,0.009685283345170319,11137
no_polynomial,sweeping,1,112,0.0819672131147541,95.10000000000007,0,0.0,49,0.49,100,0.004888188797049224,11237
no_polynomial,sweeping,1,113,0.08130081300813008,95.00000000000004,0,0.0,50,0.5,100,0.0055361210438422855,11337
no_polynomial,sweeping,1,114,0.08064516129032258,89.60000000000008,3,0.03,47,0.47,100,0.005218964733649046,11437
no_polynomial,sweeping,1,115,0.08,94.10000000000005,1,0.01,39,0.39,100,0.005204682401381433,11537
no_polynomial,sweeping,1,116,0.07936507936507936,92.90000000000006,1,0.01,52,0.52,100,0.005901416540145874,11637
no_polynomial,sweeping,1,117,0.07874015748031496,95.90000000000003,0,0.0,41,0.41,100,0.012136810489464552,11737
no_polynomial,sweeping,1,118,0.078125,93.00000000000003,1,0.01,51,0.51,100,0.007094096431974322,11837
no_polynomial,sweeping,1,119,0.07751937984496124,92.70000000000003,2,0.02,35,0.35,100,0.006062149666249752,11937
no_polynomial,sweeping,1,120,0.07692307692307693,95.90000000000006,0,0.0,41,0.41,100,0.006175233568064868,12037
no_polynomial,sweeping,1,121,0.07633587786259542,94.10000000000008,1,0.01,40,0.4,100,0.006708917543292046,12137
no_polynomial,sweeping,1,122,0.07575757575757576,92.20000000000003,1,0.01,59,0.59,100,0.008618403936270624,12237
no_polynomial,sweeping,1,123,0.07518796992481203,93.60000000000007,1,0.01,45,0.45,100,0.006307808491401374,12337
no_polynomial,sweeping,1,124,0.07462686567164178,93.80000000000004,1,0.01,43,0.43,100,0.0047834673500619825,12437
no_polynomial,sweeping,1,125,0.07407407407407407,95.30000000000007,0,0.0,47,0.47,100,0.005064920834265649,12537
no_polynomial,sweeping,1,126,0.07352941176470588,93.50000000000009,1,0.01,46,0.46,100,0.007382252195384353,12637
no_polynomial,sweeping,1,127,0.07299270072992702,95.90000000000006,0,0.0,41,0.41,100,0.006012997507350519,12737
no_polynomial,sweeping,1,128,0.07246376811594203,95.90000000000008,0,0.0,41,0.41,100,0.004844356835819781,12837
no_polynomial,sweeping,1,129,0.07194244604316546,95.00000000000007,0,0.0,50,0.5,100,0.006715025261510164,12937
no_polynomial,sweeping,1,130,0.07142857142857142,93.80000000000007,1,0.01,43,0.43,100,0.007005370354745537,13037
no_polynomial,sweeping,1,131,0.07092198581560284,90.20000000000002,3,0.03,41,0.41,100,0.006101767945801839,13137
no_polynomial,sweeping,1,132,0.07042253521126761,95.60000000000005,0,0.0,44,0.44,100,0.005212383433245122,13237
no_polynomial,sweeping,1,133,0.06993006993006992,93.50000000000007,1,0.01,46,0.46,100,0.004888554455246777,13337
no_polynomial,sweeping,1,134,0.06944444444444445,93.30000000000004,1,0.01,48,0.48,100,0.007350205346010625,13437
no_polynomial,sweeping,1,135,0.06896551724137931,94.50000000000006,1,0.01,36,0.36,100,0.00678150583524257,13537
no_polynomial,sweeping,1,136,0.0684931506849315,95.30000000000007,0,0.0,47,0.47,100,0.005551348314620555,13637
no_polynomial,sweeping,1,137,0.06802721088435375,94.50000000000003,1,0.01,35,0.35,100,0.0054566067270934585,13737
no_polynomial,sweeping,1,138,0.06756756756756756,96.20000000000006,0,0.0,38,0.38,100,0.006413065171800554,13837
no_polynomial,sweeping,1,139,0.06711409395973154,94.30000000000007,1,0.01,38,0.38,100,0.005808203320484608,13937
no_polynomial,sweeping,1,140,0.06666666666666667,96.30000000000007,0,0.0,37,0.37,100,0.0054045191267505285,14037
no_polynomial,sweeping,1,141,0.06622516556291391,95.20000000000006,0,0.0,48,0.48,100,0.007237203868571669,14137
no_polynomial,sweeping,1,142,0.06578947368421052,93.60000000000004,1,0.01,45,0.45,100,0.006879256679676473,14237
no_polynomial,sweeping,1,143,0.06535947712418301,91.50000000000003,2,0.02,47,0.47,100,0.00685277808457613,14337
no_polynomial,sweeping,1,144,0.06493506493506493,93.40000000000008,1,0.01,47,0.47,100,0.007173581896349788,14437
no_polynomial,sweeping,1,145,0.06451612903225806,93.60000000000005,1,0.01,45,0.45,100,0.005960497627966106,14537
no_polynomial,sweeping,1,146,0.06410256410256411,93.50000000000007,1,0.01,46,0.46,100,0.0062042571255005894,14637
