condition,condition_role,distance_cm,power_dbm,jammer_mode,method,train_seed,return,collisions,collision_rate,switches,switch_rate
within_condition_pilot,transparent_pilot,20,10,random,no_polynomial,9.0,97.54000000000003,0.0,0.0,24.6,0.246
within_condition_pilot,transparent_pilot,20,10,random,no_polynomial,10.0,96.34000000000003,0.5,0.005,27.1,0.271
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,1.0,96.30500000000004,0.0,0.0,36.95,0.3695
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,2.0,96.24000000000004,0.0,0.0,37.6,0.376
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,3.0,92.75500000000008,0.0,0.0,72.45,0.7245
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,4.0,96.25500000000004,0.0,0.0,37.45,0.3745
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,5.0,97.60000000000002,0.0,0.0,24.0,0.24
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,6.0,96.30500000000004,0.0,0.0,36.95,0.3695
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,7.0,97.38000000000004,0.0,0.0,26.2,0.262
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,8.0,97.27000000000004,0.0,0.0,27.3,0.273
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,9.0,96.16500000000005,0.0,0.0,38.35,0.3835
within_condition_pilot,transparent_pilot,20,10,sweeping,no_polynomial,10.0,96.69000000000004,0.0,0.0,33.1,0.331
distance_shift_40cm_10dBm,cross_configuration,40,10,random,clairvoyant_oracle,,99.56,0.0,0.0,4.4,0.044
distance_shift_40cm_10dBm,cross_configuration,40,10,random,jammer_greedy,,98.77000000000001,0.0,0.0,12.3,0.123
distance_shift_40cm_10dBm,cross_configuration,40,10,random,max_quality,,96.11000000000004,0.0,0.0,38.9,0.389
distance_shift_40cm_10dBm,cross_configuration,40,10,random,random,,67.59999999999995,12.35,0.12350000000000001,87.6,0.876
distance_shift_40cm_10dBm,cross_configuration,40,10,random,stay,,74.8,12.6,0.126,0.0,0.0
